File name;Number;Metadata
DKTL99101718AA-TTV.csv;1;Distriktsnyheter Midtnytt
DKTL99101718AA-TTV.csv;2;Navn: DKTL99101718AA
DKTL99101718AA-TTV.csv;3;Type: TTV
DKTL99101718AA-TTV.csv;4;Oppsett: 5
DKTL99101718AA-TTV.csv;5;Variant: BOK
DKTL99101718AA-TTV.csv;6;DKTL-991017-18AA
DKTL99101718AA-TTV.csv;7;09:29:39– 09:38:38 0.08'59
DKSF43000814AA-TTV.csv;0;{\an7}DKSF 430008/14 A t-tv 80 t
DKSF43000814AA-TTV.csv;1;Klart eg kan 8:10
DKSF43000814AA-TTV.csv;2;Navn: DKSF43000814AA
DKSF43000814AA-TTV.csv;3;Type: TTV
DKSF43000814AA-TTV.csv;4;Oppsett: 0
DKSF43000814AA-TTV.csv;5;Variant: NYN
DKSF43000814AA-TTV.csv;6;DKSF43000814AA
DKSF43000814AA-TTV.csv;7;00:00:00 - 00:09:22  9'22
OBUB02006202AA-TTV.csv;0;{\an7}OBUB 020062/02 A  t-tv  71 t
OBUB02006202AA-TTV.csv;1;Brødrene Dal 12:13
OBUB02006202AA-TTV.csv;2;Navn: OBUB02006202AA
OBUB02006202AA-TTV.csv;3;Type: TTV
OBUB02006202AA-TTV.csv;4;Oppsett: 0
OBUB02006202AA-TTV.csv;5;Variant: BOK
OBUB02006202AA-TTV.csv;6;BDL124 036 780
OBUB02006202AA-TTV.csv;7;12:00:11 - 12:16:30 16'19
NNFA91052918AH-TTV.csv;0;{\an7}NNFA-910529-18AH t-tv 31 t
NNFA91052918AH-TTV.csv;1;Tegnspråknytt
NNFA91052918AH-TTV.csv;2;Navn: NNFA91052918AH
NNFA91052918AH-TTV.csv;3;Type: TTV
NNFA91052918AH-TTV.csv;4;Oppsett: 5
NNFA91052918AH-TTV.csv;5;Variant: BOK
NNFA91052918AH-TTV.csv;6;NNFA-910529-18AH
NNFA91052918AH-TTV.csv;7;17:45:01– 17:48:59 0.03'58
DVNA60000214AA-TTV.csv;0;{\an7}DVNA 600002/14 A   t-tv    262 t
DVNA60000214AA-TTV.csv;1;Ut i naturen magasin 2:11
DVNA60000214AA-TTV.csv;2;Navn: DVNA60000214AA
DVNA60000214AA-TTV.csv;3;Type: TTV
DVNA60000214AA-TTV.csv;4;Oppsett: 0
DVNA60000214AA-TTV.csv;5;Variant: BOK
DVNA60000214AA-TTV.csv;6;wmv
DVNA60000214AA-TTV.csv;7;29'10''
DVNA60000214AA-TTV.csv;8;30.03.14
DVNA60000214AA-TTV.csv;9;akr, korr. iaa
DMPV74003212AA-TTV.csv;0;{\an7}DMPV 740032/12 A  t-tv  293 t
DMPV74003212AA-TTV.csv;1;Newton 32
DMPV74003212AA-TTV.csv;2;Navn: DMPV74003212AA
DMPV74003212AA-TTV.csv;3;Type: TTV
DMPV74003212AA-TTV.csv;4;Oppsett: 0
DMPV74003212AA-TTV.csv;5;-- -- --
DMPV74003212AA-TTV.csv;6;-- -- --                      28'15
DKOA99112318AA-TTV.csv;0;{\an7}DKOA-991123-18AA t-tv 95 t
DKOA99112318AA-TTV.csv;1;Distriktsnyheter Østlandssendingen
DKOA99112318AA-TTV.csv;2;Navn: DKOA99112318AA
